Title,Summary,Latitude,Longitude,Cleaned Summary,Category,Mentioned Landmarks,Best Season,Weather Dependency
Academia del Perpetuo Socorro,"Mrs. Jeannette Sánchez (1-6)\n Academia del Perpetuo Socorro(English: ""Academy of Our Lady of Perpetual Help"") was founded in 1921 as a Catholic parochial school of the Perpetuo Socorro Parish at the Archdiocese ofSan Juan, Puerto Rico. The school is located inMiramarinPuerto Rico\'s capital city ofSan Juan. Students, teachers and alumni commonly refer to their school as Perpetuo. \n The goal of the Academia del Perpetuo Socorro is the complete development of the student - spiritually, mentally, morally, socially, culturally, and physically in order to live a full life and to prepare for his/her final goal - union with God. To this end, the school works to create a Catholic academic community in which faith, knowledge, and recreation are shared in a spirit of freedom, love, and creativity. The school, however, does not emphasize religion over other subjects, accepts students of all faiths and does not impose religious requirements such as baptism, confirmation orchurch attendanceas a condition for continued attendance.\n",18.45444,-66.08472,"Mrs. Jeannette Sánchez (1-6) Academia del Perpetuo Socorro (English: ""Academy of Our Lady of Perpetual Help"") was founded in 1921 as a Catholic parochial school of the Perpetuo Socorro Parish at the Archdiocese of San Juan, Puerto Rico. The school is located in Miramar in San Juan, Puerto Rico's capital city. Students, teachers, and alumni commonly refer to their school as Perpetuo.

The goal of the Academia del Perpetuo Socorro is the complete development of the student - spiritually, mentally, morally, socially, culturally, and physically in order to live a full life and to prepare for his/her final goal - union with God. To this end, the school works to create a Catholic academic community in which faith, knowledge, and recreation are shared in a spirit of freedom, love, and creativity. The school, however, does not emphasize religion over other subjects",Urban,"Academia del Perpetuo Socorro, Puerto Rico",Unknown,No
Academia Interamericana Metro,"TheAcademia Interamericana Metro(beforeAcademia del Sagrado Corazón) was founded in 1928 as a private and religious school inSanturce, Puerto Rico byInter American University of Puerto Rico- Metro Cumpus.[1]The school provides elementary and high school education and is located inAvenida Ponce de León, at the Parada 19 in Santurce.\n Before the school was founded, a small school affiliated with the church had existed on the current parking lot grounds of the church. This early school was housed in a wooden structure that was destroyed whenHurricane Philipstruck Puerto Rico in 1928. This early school had only been an elementary school that had added a new grade every year.[2]\n \n",18.4485306,-66.0721222,"The Academia Interamericana Metro (before Academia del Sagrado Corazón) was founded in 1928 as a private and religious school in Santurce, Puerto Rico by Inter American University of Puerto Rico - Metro Campus. The school provides elementary and high school education and is located on Avenida Ponce de León, at the Parada 19 in Santurce.
Before the school was founded, a small school affiliated with the church had existed on the current parking lot grounds of the church. This early school was housed in a wooden structure that was destroyed when Hurricane Philip struck Puerto Rico in 1928. This early school had only been an elementary school that had added a new grade every year.","Nature, Religious","Academia Interamericana Metro, Puerto Rico","Summer, Spring",Yes
Academia Maria Reina,"Academia Maria Reinais a Catholic middle (7th to 12th) and high school for girls inSan Juan, Puerto Rico.[1]\n Academia Maria Reina is a school of theSisters of Saint JosephofBrentwood, New York. The educative mission of this congregation has its roots in the mission of Jesus: to evangelize, to heal, to pardon, to redeem and liberate all, through love that achieves union and reconciliation. During the year 2010-2011, the new 7th graders received the record of the most entries in the academy ever in school history. As they say in Academia Maria Reina: ""Fuerza Conlleva Honor"", which means ""Strength Carries Honor"". The Academia Maria Reina is one of the most prestigious schools for girls in Puerto Rico, where girls are educated by qualified teachers, who are paid an American salary scale above $ 25 per hour to $ 27 an hour. \n Academia Maria Reina is a Catholic private middle school and high school. It is dedicated to the total development of its students, that aspire to continue university studies and doing so with authentically Christian values. The goal of the school is the growth of its students in the Catholic faith and the development of a critical mind. The final goal is to have students be agents of their own development and simultaneously be at the service of the community in which they live in order for this society to be equal to all. Academia Maria Reina, conscientious of its philosophy, aspires to help develop a well rounded Puerto Rican woman of faith and devoted to her society. \n",18.383442,-66.085516,"Academia Maria Reina is a Catholic middle (7th to 12th) and high school for girls in San Juan, Puerto Rico. Academia Maria Reina is a school of the Sisters of Saint Joseph of Brentwood, New York. The educative mission of this congregation has its roots in the mission of Jesus: to evangelize, to heal, to pardon, to redeem and liberate all, through love that achieves union and reconciliation. During the year 2010-2011, the new 7th graders received the record of the most entries in the academy ever in school history. As they say in Academia Maria Reina: ""Fuerza Conlleva Honor"", which means ""Strength Carries",Unknown,"Academia Maria Reina, Puerto Rico",Unknown,No
Academia San Jorge,"Academia San Jorge(""Saint George Academy"") is a private,Roman Catholicschool inSan Juan, Puerto Ricofounded in 1925 by Rev. Msgr. José M. Rivera as a parochial school with 53 students from grades K\xe2\x80\x933. Shortly after, the school started construction on the firstbuilding, which still exists today, and added grades 4-12. The school is located on San Jorge Avenue in San Juan\'sSanturcedistrict.\n In 1939, theSisters of St. Josephcame to teach and administer the school until their departure in 1973. \n In 1959, its founder Msgr. José M. Rivera died and was replaced as parish priest by father Benito Cabrera. Father Cabrera started a campaign to remodel the school and the church, but was replaced in 1962 by Msgr. Thomas Maysonet who administered the school until 1972. \n",18.45056,-66.06167,"Academia San Jorge (""Saint George Academy"") is a private, Roman Catholic school in San Juan, Puerto Rico founded in 1925 by Rev. Msgr. José M. Rivera as a parochial school with 53 students from grades K-3. Shortly after, the school started construction on the first building, which still exists today, and added grades 4-12. The school is located on San Jorge Avenue in San Juan's Santurce district. 

In 1939, the Sisters of St. Joseph came to teach and administer the school until their departure in 1973. 

In 1959, its founder Msgr. José M. Rivera died and was replaced as parish priest by Father Benito Cabrera. Father Cabrera started a campaign to remodel the school and the church but was replaced in 1962 by Msgr. Thomas Maysonet who administered the school until 1972.","Nature, Museums, Religious","Academia San Jorge, Puerto Rico","Summer, Spring",Yes
Adjuntas barrio-pueblo,"Adjuntas barrio-pueblois abarrioand the administrative center (seat) ofAdjuntas, a municipality of Puerto Rico. Its population in 2010 was 4,406.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festival) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.163776,-66.723544,"Adjuntas barrio-pueblo is a barrio and the administrative center (seat) of Adjuntas, a municipality of Puerto Rico. Its population in 2010 was 4,406. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festival) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcion","Urban, Museums, Religious","Adjuntas barrio-pueblo, Puerto Rico",Year-round,No
Aguada barrio-pueblo,"Aguada barrio-pueblois a smallbarrioand the administrative center (seat) ofAguada, a municipality of Puerto Rico. Its population in 2010 was 1,324. Aguada barrio-pueblo has two subdivisions: California and Rosario.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.380211,-67.188632,"Aguada barrio-pueblo is a small barrio and the administrative center (seat) of Aguada, a municipality of Puerto Rico. Its population in 2010 was 1,324. Aguada barrio-pueblo has two subdivisions: California and Rosario. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square","Urban, Museums, Religious","Aguada barrio-pueblo, Puerto Rico",Year-round,No
Naval Radio Transmitter Facility Aguada,"Naval Radio Transmitter Facility Aguadais a tallguyed radio masterected by theUnited States Navy. It is used as a facility of the US Navy for ashore and U.S. andNATOships, planes, and submarines operating at sea in areas of broadcast coverage nearAguada, Puerto Ricoat18\xc2\xb023\xe2\x80\xb255\xe2\x80\xb3N67\xc2\xb010\xe2\x80\xb238\xe2\x80\xb3W / 18.39861\xc2\xb0N 67.17722\xc2\xb0W /18.39861; -67.17722by using radio waves in thevery low frequencyrange.\n The Aguada transmission station, originally part of ""The Naval Radio Transmitter Facility Aguada"", works onvery low frequency(VLF) 40.75 kHz with the callsign NAU. The Naval Radio Transmitter Facility Aguada, apparently consisted of three locations with guyed towers: the primary Aguada transmission station in a 330-acre site; the Naval Radio Receiver at a 242-acre site atCampamento SantiagoinSalinas, Puerto Rico; and the Naval Radio Transmitter at a 408-acre site inIsabela County.[1]Only the tallest with a height of 367.3 metres (1205 ft) is still standing and in use., while the other two were dismantled. It is the tallest structure inPuerto Ricoand in theCaribbeanregion.\n This transmission station emits signals below 50 kHz, being capable of penetrating ocean depths to approximately 200 metres. TheUnited States Navycommunicates withsubmarineson these frequencies.[2]\n",18.39861,-67.17722,"Naval Radio Transmitter Facility Aguada is a tall guyed radio mast erected by the United States Navy. It is used as a facility of the US Navy for ashore and U.S. and NATO ships, planes, and submarines operating at sea in areas of broadcast coverage near Aguada, Puerto Rico at 18°23'55""N 67°10'38""W / 18.39861°N 67.17722°W / 18.39861; -67.17722 by using radio waves in the very low-frequency range. The Aguada transmission station, originally part of ""The Naval Radio Transmitter Facility Aguada"", works on very low frequency (VLF) 40.75 kHz with the callsign NAU. The Naval Radio Transmitter Facility Aguada apparently consisted of three locations with guyed towers: the primary Aguada transmission station in a 330-acre site; the Naval Radio Receiver at a 242-acre site at Campamento Santiago in",Museums,"Naval Radio Transmitter Facility Aguada, Campamento Santiago, Puerto Rico",Year-round,No
Aguadilla barrio-pueblo,"Aguadilla barrio-pueblois an urbanbarrioand the administrative center (seat) ofAguadilla, a municipality of Puerto Rico. Its population in 2010 was 3,627.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.429734,-67.155693,"Aguadilla barrio-pueblo is an urban barrio and the administrative center (seat) of Aguadilla, a municipality of Puerto Rico. Its population in 2010 was 3,627. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish","Urban, Museums, Religious","Aguadilla barrio-pueblo, Puerto Rico",Year-round,No
Aguadilla Ice Skating Arena,"Aguadilla Ice Skating Arena,A.I.S.A., is a multi-use facility inAguadilla, Puerto Rico. Thearenawas the onlyice skatingfacility in theCaribbeanregion. The facility is owned and administered by the city. The Ice Skating rink has been closed since it was heavily damaged duringHurricane Maria.\n A.I.S.A. opened its doors in 2005 as the only facility of its kind in the Caribbean. Although Puerto Rico hosts several ice skating events during the Christmas season, the AISA was the only ice skating facility open year-round.\nThe arena was designed & fabricated byIce Rink Supply.com, using their internationally patented technology, for theAuthority of Municipal Enterprisesof the city. Aguadilla City Enterprises also administersLas Cascadas Water Park& Aguadilla Bowling Alley.\n The AISA also hosts numerous stores and establishments:\n",18.41833,-67.15639,"Aguadilla Ice Skating Arena (AISA) is a multi-use facility in Aguadilla, Puerto Rico. The arena was the only ice skating facility in the Caribbean region. The facility is owned and administered by the city. The Ice Skating rink has been closed since it was heavily damaged during Hurricane Maria.

AISA opened its doors in 2005 as the only facility of its kind in the Caribbean. Although Puerto Rico hosts several ice skating events during the Christmas season, the AISA was the only ice skating facility open year-round.

The arena was designed and fabricated by Ice Rink Supply.com using their internationally patented technology for the Authority of Municipal Enterprises of the city. Aguadilla City Enterprises also administers Las Cascadas Water Park and Aguadilla Bowling Alley.

The AISA also hosts numerous stores and establishments.","Nature, Urban","Aguadilla Ice Skating Arena, Las Cascadas Water Park, Puerto Rico","Summer, Spring",Yes
Aguas Buenas barrio-pueblo,"Aguas Buenas barrio-pueblois abarrioand the administrative center (seat) ofAguas Buenas, a municipality of Puerto Rico. Its population in 2010 was 1,711.[1][4][5]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[6][7]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[6]\n",18.256469,-66.105428,"Aguas Buenas barrio-pueblo is a barrio and the administrative center (seat) of Aguas Buenas, a municipality of Puerto Rico. Its population in 2010 was 1,711. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (","Urban, Museums, Religious","Aguas Buenas barrio-pueblo, Puerto Rico",Year-round,No
